Date,High,Low,Open,Close,Volume,Adj Close
1/4/2010,30.6428566,30.34000015,30.48999977,30.5728569,123432400,26.78271103
1/5/2010,30.79857063,30.4642849,30.65714264,30.62571335,150476200,26.82901001
1/6/2010,30.74714279,30.1071434,30.62571335,30.13857079,138040000,26.40225983
1/7/2010,30.2857151,29.86428642,30.25,30.08285713,119282800,26.35346031
1/8/2010,30.2857151,29.86571503,30.04285622,30.28285789,111902700,26.52866364
1/11/2010,30.4285717,29.77857208,30.39999962,30.01571465,115557400,26.29463959
1/12/2010,29.96714211,29.48857117,29.88428497,29.67428589,148614900,25.9955368
1/13/2010,30.13285637,29.15714264,29.69571495,30.09285736,151473000,26.36221695
1/14/2010,30.06571388,29.86000061,30.01571465,29.91857147,108223500,26.20953751
1/15/2010,30.22857094,29.40999985,30.13285637,29.41857147,148516900,25.77152824
1/19/2010,30.74142838,29.6057148,29.76142883,30.71999931,182501900,26.91161156
1/20/2010,30.79285622,29.9285717,30.70142937,30.24714279,153038200,26.49738312
1/21/2010,30.47285652,29.60142899,30.29714203,29.72428513,152038600,26.03934097
1/22/2010,29.6428566,28.16571426,29.54000092,28.25,220441900,24.74781799
1/25/2010,29.24285698,28.59857178,28.93000031,29.01000023,266424900,25.41359901
1/26/2010,30.53000069,28.94000053,29.42142868,29.42000008,466777500,25.77277374
1/27/2010,30.08285713,28.50428581,29.54999924,29.69714355,430642100,26.01556015
1/28/2010,29.3571434,28.38571358,29.27571487,28.46999931,293375600,24.94054604
1/29/2010,28.88571358,27.1785717,28.72571373,27.43714333,311488100,24.03573418
2/1/2010,28,27.32857132,27.48142815,27.81857109,187469100,24.36987114
2/2/2010,28.04571342,27.62571335,27.98714256,27.97999954,174585600,24.51129532
2/3/2010,28.60000038,27.77428627,27.88142776,28.46142769,153832000,24.93303299
2/4/2010,28.33857155,27.36714363,28.10428619,27.43571472,189413000,24.03448677
2/5/2010,28,27.26428604,27.51857185,27.92285728,212576700,24.46122742
2/8/2010,28.26857185,27.7142849,27.95571518,27.73142815,119567700,24.29353714
2/9/2010,28.2142849,27.8214283,28.05999947,28.02714348,158221700,24.55258942
2/10/2010,28.08571434,27.7514286,27.98428535,27.87428665,92590400,24.41868401
2/11/2010,28.5357151,27.72285652,27.84000015,28.38142776,137586400,24.862957
2/12/2010,28.80571365,27.9285717,28.30142784,28.62571335,163867200,25.0769577
2/16/2010,29.09857178,28.78857231,28.84857178,29.05714226,135934400,25.45490265
2/17/2010,29.18714333,28.69428635,29.17000008,28.93571472,109099200,25.34852791
2/18/2010,29.12714195,28.70285797,28.80428505,28.98999977,105706300,25.39608574
2/19/2010,29.02857208,28.72999954,28.83714294,28.80999947,103867400,25.2383976
2/22/2010,28.9285717,28.45571518,28.90571404,28.63142776,97640900,25.08195877
2/23/2010,28.76142883,27.95857048,28.5714283,28.15142822,143773700,24.6614666
